City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Saldanha,ZA,2021-09-24 15:28:52,-33.0117,17.9442,66.25,75,75,9.01
159,Ust-Ilimsk,RU,2021-09-24 15:28:52,58.0006,102.6619,37.13,79,100,3.06
160,Vyborg,RU,2021-09-24 15:28:52,60.7076,28.7528,47.88,73,100,5.14
161,San Cristobal,VE,2021-09-24 15:28:53,7.7669,-72.225,86.18,79,99,6.06
162,Miyang,CN,2021-09-24 15:28:53,24.4042,103.4428,64.09,95,10,2.19
163,West Wendover,US,2021-09-24 15:28:53,40.7391,-114.0733,56.41,41,1,3.44
164,Jumla,NP,2021-09-24 15:28:54,29.2747,82.1838,60.82,90,75,1.61
165,Petropavlovsk-Kamchatskiy,RU,2021-09-24 15:28:54,53.0452,158.6483,36.19,100,20,4.47
166,Bambous Virieux,MU,2021-09-24 15:28:55,-20.3428,57.7575,72.21,78,40,11.5
167,Santiago Del Estero,AR,2021-09-24 15:28:55,-27.7951,-64.2615,74.8,29,0,7.18
168,Liusha,CN,2021-09-24 15:28:55,27.2098,108.59,69.51,85,0,2.98
169,Honningsvag,NO,2021-09-24 15:28:56,70.9821,25.9704,49.75,71,75,17.27
170,Ambilobe,MG,2021-09-24 15:28:56,-13.2,49.05,76.1,69,6,3.89
171,Moose Factory,CA,2021-09-24 15:28:56,51.2585,-80.6094,53.58,87,90,13.8
172,Itarema,BR,2021-09-24 15:28:57,-2.9248,-39.9167,90.75,49,13,18.7
173,Douglas,US,2021-09-24 15:28:57,41.3,-96.167,67.89,66,1,3.0
174,Ancud,CL,2021-09-24 15:28:57,-41.8697,-73.8203,63.43,82,100,5.97
175,Leshukonskoye,RU,2021-09-24 15:28:58,64.8989,45.7622,49.19,73,97,9.98
176,Chara,RU,2021-09-24 15:28:58,56.9064,118.2631,36.41,82,50,2.15
177,Kyren,RU,2021-09-24 15:28:58,51.6828,102.1408,42.58,90,100,2.71
178,Comodoro Rivadavia,AR,2021-09-24 15:28:58,-45.8667,-67.5,73.26,28,0,18.41
179,Yar-Sale,RU,2021-09-24 15:28:59,66.8333,70.8333,38.82,92,100,4.21
180,Thompson,CA,2021-09-24 15:28:59,55.7435,-97.8558,42.96,93,90,11.5
181,Champasak,LA,2021-09-24 15:28:59,14.75,106.0,72.43,99,100,3.78
182,Nazarovo,RU,2021-09-24 15:29:00,56.0064,90.3914,34.5,93,100,5.46
183,Umm Kaddadah,SD,2021-09-24 15:29:00,13.6017,26.6876,97.63,14,100,15.9
184,Xichang,CN,2021-09-24 15:29:01,27.8964,102.2634,65.62,87,2,2.86
